MutationType	CN2_2b_CKDN200005067-1A_H5T7VDSXY_L1	CN9R1_1_CKDN190048205-1A_HV3TFDSXX_L1	CN9R1_2_CKDN190048207-1A_HTC3FDSXX_L2	CN9R2_1_CKDN190048209-1A_HTC3FDSXX_L2
0:homdel:0-100kb	1	0	0	0
0:homdel:100kb-1Mb	1	0	0	1
0:homdel:>1Mb	0	0	0	0
1:LOH:0-100kb	21	13	18	20
1:LOH:100kb-1Mb	25	9	10	21
1:LOH:1Mb-10Mb	9	6	5	8
1:LOH:10Mb-40Mb	2	0	1	1
1:LOH:>40Mb	0	0	0	0
2:LOH:0-100kb	11	4	9	15
2:LOH:100kb-1Mb	38	13	35	56
2:LOH:1Mb-10Mb	65	3	25	73
2:LOH:10Mb-40Mb	13	0	14	11
2:LOH:>40Mb	6	1	10	8
3-4:LOH:0-100kb	15	14	18	21
3-4:LOH:100kb-1Mb	80	62	92	74
3-4:LOH:1Mb-10Mb	121	83	148	127
3-4:LOH:10Mb-40Mb	16	16	17	16
3-4:LOH:>40Mb	6	10	3	8
5-8:LOH:0-100kb	13	21	16	15
5-8:LOH:100kb-1Mb	31	35	46	56
5-8:LOH:1Mb-10Mb	8	47	14	19
5-8:LOH:10Mb-40Mb	4	6	3	3
5-8:LOH:>40Mb	0	2	0	0
9+:LOH:0-100kb	4	15	4	6
9+:LOH:100kb-1Mb	8	33	13	11
9+:LOH:1Mb-10Mb	2	3	0	2
9+:LOH:10Mb-40Mb	0	0	0	0
9+:LOH:>40Mb	0	0	0	0
2:het:0-100kb	1	0	0	1
2:het:100kb-1Mb	11	0	0	9
2:het:1Mb-10Mb	8	1	3	18
2:het:10Mb-40Mb	0	0	1	1
2:het:>40Mb	0	0	0	0
3-4:het:0-100kb	2	4	7	2
3-4:het:100kb-1Mb	42	44	37	27
3-4:het:1Mb-10Mb	44	13	19	39
3-4:het:10Mb-40Mb	3	0	0	1
3-4:het:>40Mb	3	0	1	1
5-8:het:0-100kb	2	7	1	2
5-8:het:100kb-1Mb	17	39	13	9
5-8:het:1Mb-10Mb	20	95	39	17
5-8:het:10Mb-40Mb	2	16	9	3
5-8:het:>40Mb	1	3	3	0
9+:het:0-100kb	0	0	0	0
9+:het:100kb-1Mb	1	3	1	1
9+:het:1Mb-10Mb	0	3	0	0
9+:het:10Mb-40Mb	0	1	0	0
9+:het:>40Mb	0	0	0	0
