Replicates	Seeds
1	9551735
2	9674728
3	5118868
4	5910568
5	7532281
6	969161
7	6656093
8	3900192
9	5314291
10	2288603
11	8824975
12	4426981
13	7007631
14	3228793
15	5239761
16	7306941
17	465203
18	7472274
19	5984713
20	7133543
21	352531
22	6480341
23	4894071
24	6444019
25	2941519
26	2736313
27	746436
28	7229165
29	3256666
30	7133191
31	8909049
32	4659188
33	100905
34	9838638
35	1001092
36	8436619
37	9388840
38	8982943
39	4352689
40	9200686
41	5495843
42	8953284
43	8106158
44	3744947
45	1701262
46	894973
47	5727982
48	9025836
49	793206
50	8579544
51	8333701
52	3165069
53	7593378
54	5047981
55	7107668
56	5235066
57	8006990
58	8565483
59	7877950
60	6255529
61	591827
62	1255218
63	8853847
64	3512519
65	2690010
66	4739809
67	17630
68	214362
69	7330844
70	8546774
71	1774791
72	2871730
73	2344512
74	2453465
75	9541396
76	5409746
77	4686261
78	3567715
79	9933925
80	5794281
81	1080813
82	3284795
83	4208630
84	4891800
85	1221916
86	7960600
87	5226739
88	7543190
89	4783450
90	9473249
91	9163241
92	2390705
93	6216001
94	693425
95	4708036
96	5633042
97	9809355
98	3611337
99	9489226
100	3907024
101	7989125
102	8875920
103	80584
104	447027
105	9797481
106	6088363
107	5686540
108	4717312
109	6381763
110	3274466
111	621207
112	4327700
113	6611925
114	6810966
115	3523808
116	7039643
117	3807011
118	1607903
119	2397137
120	121727
121	8678185
122	218078
123	5742668
124	2804082
125	3008238
126	9646130
127	1484670
128	594667
129	1396843
130	1384576
131	7436240
132	7872526
133	3074727
134	3403252
135	5396412
136	9311805
137	3523153
138	2577191
139	6146028
140	2012452
141	8448024
142	8057819
143	4064680
144	1851777
145	1059911
146	2638571
147	692800
148	3208869
149	2726199
150	6776639
151	7565487
152	2853688
153	7473385
154	2561580
155	704770
156	8489866
157	9659933
158	3554973
159	7406034
160	5608786
161	8599157
162	7994557
163	5975469
164	7865480
165	8255597
166	9242001
167	6062949
168	4704299
169	6693903
170	7475158
171	583812
172	7704258
173	7918322
174	4757703
175	6717558
176	7493728
177	6646539
178	2467354
179	3304963
180	4749030
181	2347403
182	6002724
183	495766
184	4362636
185	37968
186	2754160
187	4278790
188	2026975
189	1077797
190	3195225
191	3498984
192	6206471
193	8601160
194	4071697
195	1279057
196	3511438
197	7668240
198	568675
199	5146462
200	1919243
201	4512213
202	2541324
203	5847779
204	769909
205	9052650
206	7287446
207	7655241
208	9441942
209	5393515
210	5729860
211	2905779
212	575491
213	734533
214	358000
215	6745985
216	6381137
217	3452801
218	7881341
219	9834124
220	9865852
221	6079059
222	4017586
223	3337296
224	8092986
225	478261
226	9465300
227	6471339
228	3300621
229	5902643
230	6113910
231	5596432
232	5234268
233	1596656
234	4376925
235	3001020
236	2006651
237	5678725
238	8198312
239	465910
240	6896104
241	2867017
242	5580762
243	4212406
244	5920409
245	1609674
246	6331020
247	4827080
248	4206854
249	702702
250	8564957
251	854869
252	1165727
253	2393765
254	8717954
255	7402753
256	3667749
257	4052419
258	3382027
259	1971521
260	8198302
261	3101199
262	8967533
263	8888654
264	2161940
265	7610128
266	6070283
267	7126926
268	6662295
269	4498726
270	3239274
271	1146657
272	8271042
273	6452748
274	6173158
275	9837845
276	7277260
277	6828387
278	2139866
279	5033950
280	9212760
281	8973316
282	4381700
283	7748043
284	4319789
285	6048215
286	2361838
287	753481
288	1142737
289	9222221
290	989095
291	7249772
292	7527115
293	9828937
294	3717973
295	15905
296	2206188
297	9936738
298	6130570
299	8173887
300	1545061
301	2250606
302	478711
303	911552
304	6370937
305	2163829
306	4315544
307	5287915
308	2823613
309	4956131
310	3286245
311	2253207
312	890176
313	1486076
314	37632
315	1699449
316	4710111
317	9805062
318	5073543
319	1121188
320	9215432
321	7722156
322	5446717
323	416313
324	2836316
325	9743518
326	5769626
327	3635831
328	7296903
329	9193671
330	6433390
331	1785721
332	6400790
333	5595972
334	939763
335	8268185
336	457563
337	6825984
338	5419691
339	7347168
340	403971
341	6652246
342	2656425
343	7805667
344	424447
345	1486016
346	4534857
347	8009687
348	4996547
349	7459524
350	6700100
351	1378585
352	6246494
353	9366809
354	1078039
355	7042905
356	5858288
357	313684
358	9417719
359	3940376
360	9129238
361	1175872
362	1133268
363	1203017
364	9311539
365	6146650
366	3922752
367	2634617
368	9640756
369	9127111
370	696159
371	2124770
372	4176239
373	8541658
374	1354299
375	6395973
376	5466779
377	3675446
378	7628653
379	4409944
380	6065204
381	3427120
382	1589580
383	4274870
384	2875958
385	9918996
386	9767484
387	7149841
388	8385866
389	7579736
390	3835441
391	4627124
392	8130067
393	2021860
394	5001188
395	8130876
396	1677500
397	7409610
398	8794817
399	5741818
400	5743701
401	6397477
402	5327150
403	5653128
404	2435239
405	4910834
406	9163643
407	8406267
408	7164365
409	5416759
410	2054397
411	7548220
412	2882728
413	4161351
414	4998635
415	6274842
416	7495979
417	5976679
418	5200756
419	380585
420	1771275
421	4858079
422	4764511
423	9917900
424	5370713
425	958646
426	48580
427	136572
428	1350534
429	3592391
430	4294393
431	5707758
432	5341225
433	3549126
434	6512235
435	3094580
436	8128293
437	9788328
438	9056196
439	7963083
440	2131177
441	9601701
442	1362957
443	120799
444	4868481
445	1309475
446	5794977
447	4668295
448	6895845
449	3171389
450	4710836
451	7121849
452	2488854
453	5755414
454	7614655
455	7955473
456	5174600
457	2450076
458	6282024
459	7685284
460	2602904
461	263703
462	5968516
463	2208067
464	8180606
465	1521283
466	9246909
467	1659103
468	8207557
469	309586
470	1233219
471	3280075
472	3940595
473	1847906
474	8562446
475	2740607
476	2035430
477	4811614
478	2054217
479	3930418
480	7439357
481	2871579
482	9182378
483	6113736
484	4935508
485	9711738
486	3223242
487	7455135
488	1084691
489	4274246
490	7504676
491	730075
492	9800496
493	1414837
494	8411013
495	6511058
496	4518482
497	6793150
498	2920097
499	4652868
500	3431621
