Replicates	Seeds
1	8009185
2	3610987
3	6591568
4	1065587
5	5356192
6	252258
7	31099
8	844032
9	6346434
10	4877104
11	126996
12	1560677
13	1417107
14	6632475
15	1399576
16	9902169
17	8063694
18	8482524
19	1077434
20	4463561
21	1804984
22	6970640
23	9921383
24	8691837
25	4317617
26	1421264
27	9397328
28	456934
29	955223
30	1887910
31	3465313
32	2054775
33	2994294
34	541139
35	3217507
36	6120676
37	103942
38	6158077
39	5198983
40	3784863
41	3876746
42	1147065
43	8791924
44	6570398
45	7898592
46	3498563
47	7787748
48	7601244
49	722778
50	793911
51	1295943
52	9596402
53	615383
54	6054078
55	9622448
56	6730476
57	9601968
58	3467503
59	2691140
60	5708877
61	6077306
62	6351298
63	4539409
64	8734079
65	892770
66	8932279
67	1244250
68	1267613
69	3544695
70	9532519
71	6630808
72	595873
73	8480372
74	7838670
75	1451829
76	22366
77	2640592
78	7599423
79	4440457
80	2685030
81	8599709
82	4001371
83	6120023
84	2037698
85	7902745
86	4031112
87	1255338
88	2108934
89	6648394
90	4664090
91	7579938
92	9989175
93	8304134
94	3735156
95	1958158
96	9020391
97	7154259
98	6229135
99	1981914
100	1422661
101	7337039
102	6238636
103	1079795
104	4644378
105	7058324
106	5352840
107	1295779
108	3800184
109	9150605
110	6236869
111	2012675
112	2957362
113	2232289
114	5995908
115	391149
116	1703385
117	1498825
118	7274313
119	5904276
120	5072869
121	2012239
122	839189
123	6875168
124	1607524
125	9234708
126	2472237
127	3639721
128	6203267
129	4975947
130	9895435
131	6475322
132	7129665
133	8673793
134	9998460
135	6619520
136	7980045
137	977270
138	9756257
139	454215
140	4585283
141	8219190
142	3119104
143	8196080
144	2391133
145	9721047
146	9321719
147	3784715
148	4733570
149	4985099
150	6545171
151	2312701
152	2099250
153	3457886
154	7947312
155	3719070
156	1778063
157	9451161
158	5082148
159	126937
160	8207816
161	6256296
162	3959716
163	2840377
164	4927315
165	8889781
166	4087359
167	6805188
168	7720180
169	5297995
170	9290851
171	6225126
172	7101548
173	2201013
174	4089457
175	7702213
176	7085750
177	170854
178	7508926
179	2116307
180	3898391
181	9412218
182	4375953
183	8736036
184	5073251
185	2822318
186	6001990
187	3080868
188	9220465
189	4657910
190	5526288
191	4944672
192	6110136
193	3478181
194	2694878
195	113403
196	4826020
197	7097127
198	8447994
199	6052677
200	8360994
201	626531
202	9314829
203	4631928
204	5893441
205	2133867
206	7619589
207	5963211
208	1461045
209	7720425
210	927181
211	9873573
212	9633672
213	9220692
214	6012313
215	2115506
216	7708430
217	8701717
218	7686836
219	6477747
220	8658975
221	8619067
222	146761
223	1713225
224	3639786
225	9230341
226	9823261
227	1074500
228	9243404
229	9689617
230	2780627
231	7304361
232	3281355
233	9637956
234	6127932
235	2185960
236	9470285
237	3933112
238	362003
239	6748151
240	4598419
241	2817755
242	189889
243	4123044
244	1675814
245	6016595
246	5506501
247	2696925
248	1914680
249	4690839
250	1077727
251	8967441
252	3089270
253	2465663
254	7675256
255	7210978
256	1819728
257	1049919
258	381737
259	6646083
260	1473435
261	9500999
262	1207675
263	9082012
264	5726577
265	9250617
266	70125
267	8001935
268	3529566
269	5548438
270	1415646
271	7424535
272	6185297
273	8414859
274	7506862
275	1871874
276	4911239
277	4137833
278	89593
279	6091553
280	3563607
281	2071467
282	5037397
283	7528542
284	8662305
285	3231340
286	4645784
287	986890
