MutationType	DO51064	DO51056	DO36283	DO51074	DO51134	DO51060	DO46813	DO51133	DO51112	DO51080	DO51086	DO51116	DO46796	DO51147	DO46787	DO51150	DO51069	DO51140	DO46788	DO51049	DO36359	DO51053	DO51138	DO51057	DO51155	DO51143	DO51066	DO51127	DO51139	DO51052	DO51131	DO51085	DO51078	DO51114	DO51075	DO51068	DO46793	DO51106	DO51103	DO51104	DO46790	DO36239	DO49815	DO51054	DO51120	DO51046	DO51144	DO51090	DO51108	DO51123	DO51091	DO51156	DO51126	DO51117	DO51107	DO51072	DO36262	DO51102	DO36345	DO51044	DO51105	DO51099	DO51051	DO46792	DO51142	DO51067	DO51063	DO51137	DO51145	DO51109	DO46795	DO36254	DO51093	DO51136	DO51122	DO51089	DO51158	DO51157	DO51096	DO36361	DO51129	DO51124	DO36253	DO51088	DO36335	DO51148	DO51061	DO51118	DO51083	DO51159	DO36372	DO51135	DO51048	DO51128	DO51087	DO51115	DO51050	DO36265	DO51154	DO51062	DO51055	DO51111	DO51047	DO51152	DO51110	DO51065	DO51153	DO51070	DO51084	DO36360	DO51141	DO51098	DO51121	DO51073	DO36285	DO36226	DO36248	DO36356	DO51045	DO51100	DO51095	DO51092	DO51094	DO36273	DO51113	DO51081	DO51097	DO51132	DO51079
0:homdel:0-100kb	2	7	3	0	1	4	0	35	83	6	29	20	2	0	3	8	19	0	0	0	0	3	0	6	3	3	4	48	0	3	0	16	5	36	7	24	1	2	7	0	0	0	0	5	17	3	0	25	2	4	24	0	0	18	1	21	0	4	0	7	36	35	1	11	0	9	2	0	0	39	0	3	8	0	1	11	0	0	2	0	6	1	7	21	0	4	0	14	48	0	0	43	9	0	6	9	9	0	0	37	22	3	1	2	41	82	0	17	6	1	0	33	3	2	0	0	0	0	2	12	19	4	25	0	4	23	0	0	2
0:homdel:100kb-1Mb	0	2	1	0	2	6	1	7	31	6	5	10	2	0	1	7	8	0	0	1	0	1	2	1	1	2	3	6	0	0	0	4	7	8	2	9	0	0	8	0	3	0	1	2	6	0	1	6	1	5	8	0	2	11	0	8	0	2	0	3	13	14	1	7	0	6	2	1	2	6	0	0	3	0	1	8	0	0	7	0	1	2	5	13	0	5	0	3	14	0	0	15	6	1	5	6	4	0	0	3	6	3	0	0	8	19	0	5	5	0	0	9	1	3	0	0	0	0	0	7	6	2	13	1	0	7	0	6	7
0:homdel:>1Mb	0	1	1	0	0	0	1	1	1	1	2	1	0	1	0	2	2	0	0	0	0	0	0	3	1	0	0	3	0	0	0	0	1	0	0	2	1	0	2	0	0	0	0	0	0	0	0	1	1	2	1	0	0	0	0	4	0	0	0	1	0	0	0	4	2	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	3	0	1	2	0	3	0	1	1	0	0	1	0	1	0	1	0	0	1	2	0	1	0	2	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	3	0	0	2	0	3	0
1:LOH:0-100kb	43	2	37	42	1	13	0	30	28	5	120	21	6	15	19	45	24	1	0	3	0	9	12	31	22	5	17	47	13	7	1	49	38	50	122	12	2	10	7	5	18	0	4	9	17	13	10	83	0	26	43	7	5	9	30	16	4	8	0	42	36	17	11	44	21	37	3	17	16	19	50	53	7	0	7	14	18	37	39	0	29	17	86	78	0	102	37	8	18	3	2	3	16	5	1	2	19	0	19	79	29	13	3	65	25	18	16	10	3	37	10	7	79	3	28	8	0	0	17	1	11	3	128	3	0	28	8	0	36
1:LOH:100kb-1Mb	12	14	20	16	1	7	2	17	20	11	59	31	7	8	17	36	11	0	1	0	0	5	14	23	11	14	21	12	12	8	4	52	28	51	32	9	10	8	12	8	19	0	8	11	13	24	8	16	1	15	37	4	3	8	23	18	9	6	1	23	22	14	10	22	11	13	2	23	12	21	25	14	15	0	10	19	5	8	14	0	27	11	25	32	0	44	24	7	21	2	3	5	12	1	4	5	10	0	28	24	14	9	5	28	35	25	8	8	6	13	2	12	29	3	20	8	2	4	4	1	29	5	75	5	0	22	3	2	12
1:LOH:1Mb-10Mb	9	16	13	10	3	13	6	15	9	4	42	17	14	7	11	52	19	3	1	1	1	12	17	13	22	20	19	6	9	12	14	53	16	32	23	15	7	8	10	8	12	2	14	13	7	15	7	18	7	12	22	4	6	5	24	23	9	10	2	24	16	9	16	27	13	17	5	22	8	34	18	21	18	2	12	14	5	14	11	1	14	9	34	30	2	20	27	6	37	3	5	8	27	10	7	10	8	2	20	30	34	21	6	26	22	12	14	9	1	17	4	13	28	6	12	8	5	2	17	2	2	7	39	5	2	22	12	7	11
1:LOH:10Mb-40Mb	6	3	5	6	2	6	3	3	0	5	11	0	5	5	6	6	4	2	0	1	0	3	3	8	8	5	8	4	4	1	2	11	7	6	11	5	2	2	2	2	5	1	2	10	6	5	8	5	2	5	3	0	6	3	6	13	5	2	1	7	4	2	5	14	6	7	0	9	2	3	10	9	5	0	4	2	3	11	5	0	6	1	10	3	1	8	6	3	10	3	1	3	8	9	2	3	3	1	5	5	16	6	3	2	6	3	5	8	3	6	2	5	6	4	8	1	2	1	9	1	0	0	5	1	1	3	3	4	4
1:LOH:>40Mb	3	2	3	4	3	3	2	3	2	3	3	2	4	3	2	3	4	2	2	2	2	3	4	3	1	4	4	1	2	4	3	3	3	1	4	2	3	3	6	4	3	3	4	3	2	3	1	3	3	3	3	3	3	3	2	3	3	4	2	3	2	3	1	3	4	3	3	3	3	3	1	3	3	2	4	2	4	6	2	2	5	3	4	2	3	1	2	3	2	2	3	0	4	5	4	4	4	3	3	3	3	3	4	4	3	2	4	3	3	3	5	3	2	3	4	3	3	3	1	2	2	3	2	3	3	2	4	2	3
2:LOH:0-100kb	1	0	1	0	0	0	0	1	2	0	5	1	0	1	0	0	0	0	0	5	0	0	0	0	2	0	0	2	0	0	0	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	6	0	2	0	0	2	0	0	1	0	0	0	2	1	0	4	0	3	0	0	2	0	3	0	0	1	0	1	0	0	0	0	0	1	0	0	2	0	1	0	3	0	0	0	0	1	0	3	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
2:LOH:100kb-1Mb	0	2	0	0	0	1	3	0	1	1	1	2	1	2	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	2	0	0	0	0	0	0	0	0	1	1	0	2	0	1	0	1	0	0	0	2	0	2	0	0	0	1	1	0	1	0	2	2	0	0	0	5	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0
